#,1月1日大事记
d/19350103.html,1935年-国联对意大利的侵略行径采取绥靖政策
d/19330103.html,1933年-日军攻陷山海关
d/19310103.html,1931年-第一次世界大战法军总司令约瑟夫·霞飞逝世
d/19270103.html,1927年-汉口爆发“一·三”事件
d/19270103m1.html,1927年-国民政府收回汉口英租界
d/19230103.html,1923年-《好兵帅克》作者哈谢克逝世
d/19160103.html,1916年-袁世凯令各机关对外仍称民国，对内则书“洪宪”
d/19120103.html,1912年-孙中山领导的国民临时政府组成
d/19110103.html,1911年-伦敦警察痛恨俄无政府主义者
d/18830103.html,1883年-英国政治家艾德礼诞辰
d/18680103.html,1868年-日本明治维新
d/18510103.html,1851年-法国物理学家傅科证实了地球的自转
d/18430103.html,1843年-魏源编著《海国图志》刻本出版
d/18390103.html,1839年-钦差大臣林则徐到广东查禁鸦片
d/17770103.html,1777年-普林斯顿战役，美军战胜英军
d/15210103.html,1521年-德国人马丁·路德被教廷下令革除教籍
d/7530103.html,753年-唐朝著名奸相李林甫逝世
d/b1060103.html,-106年-古罗马政治家西塞罗诞辰
http://m.lssdjt.com/,m.lssdjt.com
#,1月4日大事记
d/20110104.html,2011年-河南省交通厅长董永安被曝落马
d/19990104.html,1999年-重庆綦江步行虹桥发生整体垮塌事故
d/19920104.html,1992年-中亚五国协商建立共同市场
d/19920104m1.html,1992年-我国与乌克兰建立外交关系
d/19920104m2.html,1992年-我国与塔吉克斯坦建立外交关系
d/19910104.html,1991年-13岁的中国运动员伏明霞成为最年轻的世界冠军
d/19860104.html,1986年-“北京音乐厅”开幕首演
d/19810104.html,1981年-葛洲坝大江截流工程胜利合龙
d/19800104.html,1980年-伊朗发生宗教冲突
d/19790104.html,1979年-中央纪委成立
d/19730104.html,1973年-加拿大蒙特利尔博物馆被盗
d/19720104.html,1972年-印度与巴基斯坦达成停战协议
d/19690104.html,1969年-消除种族歧视公约生效
d/19680104.html,1968年-台湾摇滚乐歌手伍佰出生
d/19650104.html,1965年-第三届全国人大第一次会议在北京闭幕
d/19620104.html,1962年-西贡得到新援助美国增加援越军队
